2025-11-12 14:58:34 [INFO] face-presence-api: Settings loaded and directories ensured.
2025-11-12 14:58:35 [INFO] face-presence-api: Settings loaded and directories ensured.
2025-11-12 14:58:35 [DEBUG] asyncio: Using selector: SelectSelector
2025-11-12 14:58:35 [INFO] watchfiles.main: 1 change detected
2025-11-12 14:58:35 [INFO] watchfiles.main: 1 change detected
2025-11-12 14:58:36 [INFO] watchfiles.main: 1 change detected
2025-11-12 14:58:36 [INFO] watchfiles.main: 1 change detected
2025-11-12 14:58:36 [INFO] watchfiles.main: 1 change detected
2025-11-12 14:58:37 [INFO] watchfiles.main: 1 change detected
2025-11-12 14:58:37 [INFO] watchfiles.main: 1 change detected
2025-11-12 14:58:38 [INFO] watchfiles.main: 1 change detected
2025-11-12 14:58:38 [INFO] watchfiles.main: 1 change detected
2025-11-12 14:58:38 [INFO] watchfiles.main: 1 change detected
2025-11-12 14:58:39 [INFO] watchfiles.main: 1 change detected
2025-11-12 14:58:39 [INFO] watchfiles.main: 1 change detected
2025-11-12 14:58:40 [INFO] watchfiles.main: 1 change detected
2025-11-12 14:58:40 [INFO] watchfiles.main: 1 change detected
2025-11-12 14:58:40 [INFO] watchfiles.main: 1 change detected
2025-11-12 14:58:41 [INFO] watchfiles.main: 1 change detected
2025-11-12 14:58:41 [INFO] watchfiles.main: 1 change detected
2025-11-12 14:58:42 [INFO] watchfiles.main: 1 change detected
2025-11-12 14:58:42 [INFO] watchfiles.main: 1 change detected
2025-11-12 14:58:42 [INFO] watchfiles.main: 1 change detected
2025-11-12 14:58:43 [INFO] watchfiles.main: 1 change detected
2025-11-12 14:58:43 [INFO] watchfiles.main: 1 change detected
2025-11-12 14:58:44 [INFO] watchfiles.main: 1 change detected
2025-11-12 14:58:44 [INFO] watchfiles.main: 1 change detected
2025-11-12 14:58:44 [INFO] watchfiles.main: 1 change detected
2025-11-12 14:58:45 [INFO] watchfiles.main: 1 change detected
2025-11-12 14:58:45 [INFO] watchfiles.main: 1 change detected
2025-11-12 14:58:46 [INFO] watchfiles.main: 1 change detected
2025-11-12 14:58:46 [INFO] watchfiles.main: 1 change detected
2025-11-12 14:58:46 [INFO] watchfiles.main: 1 change detected
2025-11-12 14:58:47 [INFO] watchfiles.main: 1 change detected
2025-11-12 14:58:47 [INFO] watchfiles.main: 1 change detected
2025-11-12 14:58:48 [INFO] watchfiles.main: 1 change detected
2025-11-12 14:58:48 [INFO] watchfiles.main: 1 change detected
2025-11-12 14:58:48 [INFO] watchfiles.main: 1 change detected
2025-11-12 14:58:49 [INFO] watchfiles.main: 1 change detected
2025-11-12 14:58:49 [INFO] watchfiles.main: 1 change detected
2025-11-12 14:58:50 [INFO] watchfiles.main: 1 change detected
2025-11-12 14:58:50 [INFO] watchfiles.main: 1 change detected
2025-11-12 14:58:50 [INFO] watchfiles.main: 1 change detected
2025-11-12 14:58:51 [INFO] watchfiles.main: 1 change detected
2025-11-12 14:58:51 [INFO] watchfiles.main: 1 change detected
2025-11-12 14:58:52 [INFO] watchfiles.main: 1 change detected
2025-11-12 14:58:52 [INFO] watchfiles.main: 1 change detected
2025-11-12 14:58:52 [INFO] watchfiles.main: 1 change detected
2025-11-12 14:58:53 [INFO] watchfiles.main: 1 change detected
2025-11-12 14:58:53 [INFO] watchfiles.main: 1 change detected
2025-11-12 14:58:54 [INFO] watchfiles.main: 1 change detected
